drqv2_aug_pixels-True-rotate-1.5,drqv2_aug_pixels-True-rotate-8,drqv2_aug_pixels-True-rotate-1,drqv2_aug_pixels-True-rotate-6,drqv2_aug_pixels-True-rotate-0.1,drqv2_aug_pixels-True-rotate-0.6,drqv2_aug_pixels-True-rotate-2.5,drqv2_aug_pixels-True-rotate-0.8,drqv2_aug_pixels-True-rotate-0.9,drqv2_aug_pixels-True-rotate-0.7,drqv2_aug_pixels-True-rotate-11,drqv2_aug_pixels-True-rotate-1.8,drqv2_aug_pixels-True-rotate-1.6,drqv2_aug_pixels-True-rotate-1.1,drqv2_aug_pixels-True-rotate-1.7,drqv2_aug_pixels-True-rotate-1.9,drqv2_aug_pixels-True-rotate-3,drqv2_aug_pixels-True-rotate-4,drqv2_aug_pixels-True-rotate-5,drqv2_aug_pixels-True-rotate-2,drqv2_aug_pixels-True-rotate-14,drqv2_aug_pixels-True-rotate-13,drqv2_aug_pixels-True-rotate-0.5,drqv2_aug_pixels-True-rotate-0.2,drqv2_aug_pixels-True-rotate-2.1,drqv2_aug_pixels-True-rotate-15,drqv2_aug_pixels-True-rotate-0.3,drqv2_aug_pixels-True-rotate-0.4
788.0,0.0,520.7,33.7,191.0,819.0,852.0,834.5,824.8,852.2,0.0,795.2,368.8,277.0,12.9,817.4,188.4,1.8,114.1,817.7,0.0,0.0,833.0,818.4,50.7,1.3,824.0,830.7
825.8,7.4,647.2,35.4,380.5,860.8,884.6,878.6,869.9,889.1,0.2,846.0,545.0,381.2,26.0,837.5,194.1,5.5,130.5,874.5,0.5,0.3,865.8,860.7,52.7,4.8,849.7,881.4
775.0,21.5,491.7,43.0,291.2,798.4,767.9,723.3,788.2,833.7,11.4,750.0,406.1,200.0,20.1,784.0,191.2,6.0,127.0,760.9,1.0,2.9,815.1,783.0,51.5,0.9,790.8,812.7
817.7,45.3,672.6,19.6,435.4,849.9,858.3,851.0,840.6,831.6,0.0,810.0,595.4,452.9,11.2,836.0,89.3,3.1,128.4,791.5,0.0,6.7,847.5,825.5,51.2,0.0,844.4,840.5
747.8,0.0,464.5,25.9,245.4,784.2,797.8,789.3,746.6,808.1,0.0,762.9,302.2,181.0,5.6,749.2,0.0,0.0,92.3,693.3,0.0,0.0,782.3,766.4,49.5,0.0,747.3,779.5
715.0,23.2,380.9,26.2,200.0,737.2,746.6,758.2,754.4,781.4,1.5,683.0,200.0,200.0,14.6,672.4,200.0,1.8,79.5,669.6,1.7,1.1,740.8,770.3,47.4,2.2,760.5,766.7
636.4,0.0,259.8,10.1,93.4,761.6,761.9,750.4,742.3,786.1,0.0,727.6,276.3,88.0,5.7,633.4,88.7,0.5,79.9,670.4,0.0,0.0,754.8,740.4,48.0,0.0,723.4,749.8
779.5,13.2,388.6,32.2,384.5,759.9,791.6,818.9,788.3,825.0,4.5,784.2,367.9,362.8,25.1,782.8,200.0,50.0,128.4,768.5,2.5,8.8,816.2,798.1,50.6,1.6,798.0,805.7
732.8,0.0,487.4,12.5,180.7,786.5,779.9,789.9,775.8,817.5,0.0,773.3,401.5,179.3,5.6,659.4,90.2,0.0,105.4,775.5,0.0,5.3,792.8,773.7,49.6,0.9,775.1,787.4
746.2,0.0,600.5,27.9,368.1,794.5,811.3,802.8,800.8,824.8,0.0,716.2,505.1,370.8,14.3,767.3,191.5,12.9,108.5,781.5,0.0,0.9,810.1,795.8,48.8,0.0,799.3,812.4
777.9,4.1,574.7,23.3,434.3,799.2,809.1,805.3,812.9,819.5,2.4,803.2,450.5,437.8,13.2,788.1,102.2,6.9,101.7,779.8,2.6,2.7,814.9,810.7,51.3,5.4,811.0,807.7
677.8,7.2,381.4,16.4,188.0,709.9,716.9,726.5,702.8,738.6,0.0,637.7,249.8,100.0,7.8,676.3,100.0,0.4,61.6,696.4,0.1,0.0,719.9,712.3,44.9,0.0,706.4,713.5
763.9,1.3,535.3,15.3,438.4,815.4,812.6,833.0,825.3,835.8,4.4,786.3,522.3,419.6,10.6,696.3,0.0,3.5,96.5,777.0,0.0,0.0,817.1,824.7,49.5,4.0,805.3,823.1
798.2,0.0,795.7,15.4,272.4,834.8,832.2,853.3,846.6,866.0,0.0,839.7,740.0,490.7,11.6,818.4,91.8,0.9,123.7,771.4,0.0,2.1,834.5,830.1,51.7,0.0,837.0,844.0
806.5,2.4,766.6,22.8,416.9,861.3,863.2,881.6,869.5,877.5,3.7,811.7,700.3,751.6,11.6,601.2,100.0,96.2,136.8,836.4,1.0,2.4,855.0,844.0,53.4,2.6,848.0,868.3
804.4,2.0,789.3,28.1,264.7,840.9,820.8,841.1,836.8,855.9,0.8,815.0,697.5,575.8,11.4,798.8,52.0,0.0,90.4,807.2,0.0,1.4,840.8,843.4,49.6,0.0,836.7,835.8
744.5,0.0,715.6,21.3,329.0,778.2,766.2,785.5,768.3,790.7,0.0,781.9,394.8,483.6,0.0,731.0,0.0,0.0,80.7,745.0,0.0,1.6,769.3,783.2,45.8,0.0,778.3,777.2
778.5,6.9,761.3,20.9,490.0,793.1,809.6,831.4,801.1,832.4,0.0,776.3,730.2,678.9,11.6,777.2,91.6,0.5,87.9,797.3,0.0,0.0,812.8,813.9,49.0,0.0,779.3,812.1
777.4,5.5,795.4,9.4,612.4,820.6,825.8,825.3,812.3,825.9,0.0,773.9,704.3,568.2,5.7,773.7,0.0,1.0,98.1,782.8,0.0,0.0,823.7,820.8,51.3,0.0,808.2,818.5
796.4,6.8,771.9,21.4,499.9,785.6,817.3,810.5,799.2,826.2,0.0,790.9,651.1,770.7,10.7,783.2,0.0,0.8,113.0,772.8,0.0,0.0,825.2,826.0,50.3,0.0,805.0,800.9
813.0,2.1,802.2,7.2,624.9,829.4,828.3,837.9,837.9,868.1,1.1,827.8,687.7,728.1,23.9,789.2,367.8,3.1,103.3,797.4,0.8,2.0,834.9,841.2,50.7,1.4,800.8,834.0
743.6,14.4,769.2,12.5,418.9,797.0,786.7,810.4,797.4,808.2,0.0,763.6,698.3,741.1,5.3,736.5,91.5,5.9,83.1,754.0,1.9,0.0,771.5,798.3,47.6,0.0,773.9,791.6
