drqv2_aug_pixels-True-sharp-1,drqv2_aug_pixels-True-sharp-6,drqv2_aug_pixels-True-sharp-8,drqv2_aug_pixels-True-sharp-12,drqv2_aug_pixels-True-sharp-15,drqv2_aug_pixels-True-sharp-23,drqv2_aug_pixels-True-sharp-24,drqv2_aug_pixels-True-sharp-9,drqv2_aug_pixels-True-sharp-7,drqv2_aug_pixels-True-sharp-25,drqv2_aug_pixels-True-sharp-22,drqv2_aug_pixels-True-sharp-14,drqv2_aug_pixels-True-sharp-13,drqv2_aug_pixels-True-sharp-31,drqv2_aug_pixels-True-sharp-30,drqv2_aug_pixels-True-sharp-16,drqv2_aug_pixels-True-sharp-29,drqv2_aug_pixels-True-sharp-11,drqv2_aug_pixels-True-sharp-27,drqv2_aug_pixels-True-sharp-18,drqv2_aug_pixels-True-sharp-5,drqv2_aug_pixels-True-sharp-2,drqv2_aug_pixels-True-sharp-21,drqv2_aug_pixels-True-sharp-26,drqv2_aug_pixels-True-sharp-19,drqv2_aug_pixels-True-sharp-10,drqv2_aug_pixels-True-sharp-17,drqv2_aug_pixels-True-sharp-28,drqv2_aug_pixels-True-sharp-3,drqv2_aug_pixels-True-sharp-4,drqv2_aug_pixels-True-sharp-32
11.1,11.1,11.1,11.1,5.9,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,0.0,11.1,11.1,11.1
5.6,5.6,5.6,5.6,11.1,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,14.9,5.6,5.6,5.6
17.7,17.7,17.7,17.7,11.3,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,6.7,17.7,17.7,17.7
10.7,10.7,10.7,10.7,19.1,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,7.9,10.7,10.7,10.7
11.7,11.7,11.7,11.7,6.0,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,5.7,11.7,11.7,11.7
15.7,15.7,15.7,15.7,12.9,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,13.3,15.7,15.7,15.7
30.0,30.0,30.0,30.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.7,30.0,30.0,30.0
12.8,12.8,12.8,12.8,20.1,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,17.2,12.8,12.8,12.8
24.8,24.8,24.8,24.8,11.2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,0.0,24.8,24.8,24.8
5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0.0,5.6,5.6,5.6
11.9,11.9,11.9,11.9,14.6,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,31.7,11.9,11.9,11.9
0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.7,12.7,12.7,12.7,25.1,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,2.4,12.7,12.7,12.7
5.4,5.4,5.4,5.4,5.6,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0.0,5.4,5.4,5.4
21.7,21.7,21.7,21.7,14.3,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,0.0,21.7,21.7,21.7
29.5,29.5,29.5,29.5,13.2,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,2.7,29.5,29.5,29.5
5.7,5.7,5.7,5.7,7.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,0.0,5.7,5.7,5.7
16.8,16.8,16.8,16.8,10.6,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,13.7,16.8,16.8,16.8
11.1,11.1,11.1,11.1,11.6,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,0.0,11.1,11.1,11.1
